,C,HW,K,RS
0,256,7,512,3
1,256,7,512,5
2,256,7,512,1
3,256,7,512,11
4,256,7,512,7
5,256,7,16,3
6,256,7,16,5
7,256,7,16,1
8,256,7,16,11
9,256,7,16,7
10,256,7,32,3
11,256,7,32,5
12,256,7,32,1
13,256,7,32,11
14,256,7,32,7
15,256,7,64,3
16,256,7,64,5
17,256,7,64,1
18,256,7,64,11
19,256,7,64,7
20,256,7,384,3
21,256,7,384,5
22,256,7,384,1
23,256,7,384,11
24,256,7,384,7
25,256,7,256,3
26,256,7,256,5
27,256,7,256,1
28,256,7,256,11
29,256,7,256,7
30,256,7,128,3
31,256,7,128,5
32,256,7,128,1
33,256,7,128,11
34,256,7,128,7
35,256,7,255,3
36,256,7,255,5
37,256,7,255,1
38,256,7,255,11
39,256,7,255,7
40,256,7,1024,3
41,256,7,1024,5
42,256,7,1024,1
43,256,7,1024,11
44,256,7,1024,7
45,256,7,96,3
46,256,7,96,5
47,256,7,96,1
48,256,7,96,11
49,256,7,96,7
50,256,7,6,3
51,256,7,6,5
52,256,7,6,1
53,256,7,6,11
54,256,7,6,7
55,256,7,28,3
56,256,7,28,5
57,256,7,28,1
58,256,7,28,11
59,256,7,28,7
60,256,7,192,3
61,256,7,192,5
62,256,7,192,1
63,256,7,192,11
64,256,7,192,7
65,256,7,9,3
66,256,7,9,5
67,256,7,9,1
68,256,7,9,11
69,256,7,9,7
70,256,7,12,3
71,256,7,12,5
72,256,7,12,1
73,256,7,12,11
74,256,7,12,7
75,256,7,56,3
76,256,7,56,5
77,256,7,56,1
78,256,7,56,11
79,256,7,56,7
80,256,7,3,3
81,256,7,3,5
82,256,7,3,1
83,256,7,3,11
84,256,7,3,7
85,256,8,512,3
86,256,8,512,5
87,256,8,512,1
88,256,8,512,11
89,256,8,512,7
90,256,8,16,3
91,256,8,16,5
92,256,8,16,1
93,256,8,16,11
94,256,8,16,7
95,256,8,32,3
96,256,8,32,5
97,256,8,32,1
98,256,8,32,11
99,256,8,32,7
100,256,8,64,3
101,256,8,64,5
102,256,8,64,1
103,256,8,64,11
104,256,8,64,7
105,256,8,384,3
106,256,8,384,5
107,256,8,384,1
108,256,8,384,11
109,256,8,384,7
110,256,8,256,3
111,256,8,256,5
112,256,8,256,1
113,256,8,256,11
114,256,8,256,7
115,256,8,128,3
116,256,8,128,5
117,256,8,128,1
118,256,8,128,11
119,256,8,128,7
120,256,8,255,3
121,256,8,255,5
122,256,8,255,1
123,256,8,255,11
124,256,8,255,7
125,256,8,1024,3
126,256,8,1024,5
127,256,8,1024,1
128,256,8,1024,11
129,256,8,1024,7
130,256,8,96,3
131,256,8,96,5
132,256,8,96,1
133,256,8,96,11
134,256,8,96,7
135,256,8,6,3
