Configuration,DtoH,"explicit_convolve_sgemm<float, int, int=128, int=6, int=7, int=3, int=3, int=5, int=0, bool=0>","cudnn::cnn::im2col4d_kernel<float, long>",HtoD,memset,Total_time,Kernel_time
(3_608_32_3),273495.0,186662.0,32629.399999999998,12263.6,0.0143,505050.014,219291.400
(32_304_64_3),133479.0,202502.0,67780.8,42346.7,0.0143,446108.514,270282.800
(64_304_64_1),138558.0,145494.0,53044.5,91367.8,0.014,428464.314,198538.500
(64_306_64_1),138253.0,149484.0,52741.2,92685.90000000001,0.0146,433164.115,202225.200
(64_308_32_1),69337.40000000001,149898.0,54633.6,93695.3,0.014,367564.314,204531.600
(32_310_64_3),140384.0,208290.0,61394.399999999994,44426.5,0.0142,454494.914,269684.400
(64_310_64_1),144145.0,151523.0,53493.8,94260.5,0.0146,443422.315,205016.800
(64_312_64_1),144273.0,150755.0,54557.5,96265.90000000001,0.0144,445851.414,205312.500
(64_157_128_3),65451.899999999994,164896.0,45868.1,20186.1,0.0142,296402.114,210764.100
(128_157_64_1),42454.5,123785.0,48275.399999999994,58661.5,0.0143,273176.414,172060.400
(64_159_64_1),42799.6,72639.9,25846.1,32536.2,0.0141,173821.814,98486.000
(64_161_64_1),42358.2,73843.5,26581.2,32709.899999999998,0.0141,175492.814,100424.700
(64_163_64_3),33772.9,162322.0,49371.6,22135.899999999998,0.0141,267602.414,211693.600
(64_163_64_1),42497.5,76030.6,26817.6,33023.899999999994,0.0143,178369.614,102848.200
(64_165_64_3),33817.2,164353.0,50615.8,22929.300000000003,0.0145,271715.314,214968.800
(64_165_64_1),43101.2,77321.4,27839.4,34999.899999999994,0.0146,183261.915,105160.800
(64_167_128_1),87685.90000000001,132939.0,28580.2,35620.9,0.0141,284826.014,161519.200
(128_85_256_3),34364.5,185842.0,26581.1,9784.68,0.0142,256572.294,212423.100
(256_85_128_1),22025.4,80099.90000000001,30076.6,37014.4,0.0143,169216.314,110176.500
(128_87_128_1),35883.7,95102.0,29839.0,34080.5,0.0148,194905.215,124941.000
(128_89_128_1),35869.2,97717.5,29857.600000000002,38127.1,0.0142,201571.414,127575.100
(128_91_128_3),15789.199999999999,152072.0,36533.0,11242.800000000001,0.0141,215637.014,188605.000
(128_91_128_1),41833.6,102285.0,33627.200000000004,39290.0,0.0141,217035.814,135912.200
(128_93_128_3),21307.600000000002,157849.0,38000.700000000004,12007.5,0.0142,229164.814,195849.700
(128_93_128_1),40610.4,100660.0,32904.899999999994,37751.7,0.0143,211927.014,133564.900
(128_95_128_3),21311.6,164639.0,39633.8,12799.8,0.0143,238384.214,204272.800
(128_95_128_1),41243.1,110247.0,35124.299999999996,44112.299999999996,0.0142,230726.714,145371.300
(128_97_128_3),21588.100000000002,171333.0,41120.8,13772.5,0.0147,247814.415,212453.800
(128_97_128_1),40305.6,110805.0,34489.1,42208.9,0.0141,227808.614,145294.100
(128_99_128_3),21529.5,174351.0,43250.4,14862.6,0.0142,253993.514,217601.400
(128_99_128_1),37499.7,102441.0,31709.0,39629.1,0.0141,211278.814,134150.000
(128_101_128_3),21422.5,160449.0,42452.399999999994,15223.599999999999,0.0142,239547.514,202901.400
(128_101_128_1),39454.3,119635.0,36359.7,45914.0,0.0145,241363.014,155994.700
(128_103_128_3),21470.300000000003,163330.0,42176.299999999996,15985.5,0.0143,242962.114,205506.300
(128_103_128_1),39382.7,101662.0,32086.5,39834.6,0.0146,212965.815,133748.500
(128_105_128_3),27182.8,170305.0,44520.8,16953.2,0.0139,258961.814,214825.800
(128_105_128_1),36115.8,73196.4,21971.3,27689.0,0.0147,158972.515,95167.700
(128_107_256_1),75590.7,142710.0,23349.1,29179.1,0.0142,270828.914,166059.100
(256_55_512_3),27678.5,192921.0,18396.3,7078.389999999999,0.0141,246074.204,211317.300
(512_55_256_1),15864.5,130901.00000000001,23813.0,31078.600000000002,0.0146,201657.115,154714.000
(256_57_256_1),26265.2,87291.5,21092.8,17415.199999999997,0.0146,152064.715,108384.300
(256_59_256_1),23749.8,78169.9,18174.0,16405.6,0.0143,136499.314,96343.900
(256_61_256_3),14898.8,182605.0,27163.9,9614.94,0.0142,234282.654,209768.900
(256_61_256_1),23202.0,82953.90000000001,18062.8,18012.3,0.0144,142231.014,101016.700
(256_63_256_3),15032.3,170168.0,28108.5,10875.6,0.0143,224184.414,198276.500
(256_63_256_1),23497.399999999998,88215.90000000001,18114.5,20160.399999999998,0.0143,149988.214,106330.400
(256_65_256_3),15120.4,177648.0,28975.8,12070.5,0.0142,233814.714,206623.800
(256_65_256_1),29214.5,92911.0,18933.5,20858.2,0.0142,161917.214,111844.500
(256_67_256_3),20983.2,188311.0,31292.5,13278.7,0.0142,253865.414,219603.500
(256_67_256_1),31017.600000000002,98697.5,19737.2,21716.0,0.0143,171168.314,118434.700
(256_69_256_3),21031.0,188121.0,32174.999999999996,14403.9,0.0144,255730.914,220296.000
(256_69_256_1),31152.8,103967.0,19869.0,23859.4,0.0139,178848.214,123836.000
(256_71_256_3),21112.600000000002,179711.0,34130.4,15463.800000000001,0.0145,250417.814,213841.399
(256_71_256_1),31642.3,109199.0,19998.3,25855.699999999997,0.0141,186695.314,129197.300
(256_73_256_3),21286.100000000002,187171.0,35280.9,16726.199999999997,0.0141,260464.214,222451.900
(256_73_256_1),36577.1,117789.0,21531.8,27147.600000000002,0.014,203045.514,139320.800
(256_75_256_3),27284.300000000003,188085.0,37955.0,17899.2,0.0139,271223.514,226040.000
(256_75_256_1),36710.2,122571.0,23622.800000000003,27536.899999999998,0.0143,210440.914,146193.800
(256_77_512_1),70108.5,173246.0,15986.599999999999,23373.5,0.0142,282714.614,189232.600
(512_40_1024_3),28117.100000000002,392737.0,16504.100000000002,8064.75,0.014,445422.964,409241.100
(1024_40_512_1),17563.0,166615.0,20255.0,25737.2,0.0143,230170.214,186870.000
(512_42_512_1),,,,,,0.000,0.000
(512_44_512_1),23838.899999999998,165856.0,18012.5,19037.600000000002,0.0143,226745.014,183868.500
(512_46_512_3),15041.5,264830.0,19746.7,12415.900000000001,0.0141,312034.114,284576.700
(512_46_512_1),26373.5,130531.0,14559.900000000001,15547.5,0.014,187011.914,145090.900
(512_48_512_3),20870.100000000002,291175.0,25775.8,13996.2,0.0145,351817.114,316950.800
