Configuration,kernel_conv_filter,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),33701.700000000004,1029.45,3755.06,38486.210,33701.700
(1_400_6),92703.7,1499.34,36896.299999999996,131099.340,92703.700
(1_320_6),55126.1,931.5,24792.8,80850.400,55126.100
(1_256_6),31836.8,571.84,2918.8399999999997,35327.480,31836.800
(1_128_6),7948.1900000000005,420.74,751.12,9120.050,7948.190
(1_32_6),873.94,88.463,95.304,1057.707,873.940
(1_256_9),44422.7,542.98,21397.9,66363.580,44422.700
(1_64_9),5030.37,240.68,517.57,5788.620,5030.370
(1_256_12),64219.399999999994,695.91,28968.1,93883.410,64219.400
(1_64_12),5454.67,246.59,647.77,6349.030,5454.670
(3_150_16),38419.0,425.45,1783.48,40627.930,38419.000
(3_64_16),14946.5,522.38,724.31,16193.190,14946.500
(3_32_16),4034.6000000000004,220.06,247.65,4502.310,4034.600
(6_150_16),70767.0,820.37,1895.1599999999999,73482.530,70767.000
(6_128_16),72705.5,896.13,2243.7999999999997,75845.430,72705.500
(6_70_16),23002.199999999997,341.61,590.87,23934.680,23002.200
(6_32_16),7062.59,405.71,246.64,7714.940,7062.590
(6_16_16),1509.96,204.54,62.132,1776.632,1509.960
(6_8_16),417.65,154.24,32.103,603.993,417.650
(6_32_32),13613.4,571.56,416.89,14601.850,13613.400
(6_16_32),2785.4100000000003,325.75,92.787,3203.947,2785.410
(6_8_32),640.79,258.8,36.63,936.220,640.790
(16_32_32),32183.9,1323.06,399.74,33906.700,32183.900
(16_16_32),6383.33,863.87,87.822,7335.022,6383.330
(16_8_32),1086.92,515.51,29.387,1631.817,1086.920
(16_32_64),24811.2,454.43,292.98,25558.610,24811.200
(16_16_64),7535.36,427.56,111.12,8074.040,7535.360
(16_8_64),2695.31,512.49,46.128,3253.928,2695.310
(32_32_64),71595.5,746.02,445.07,72786.590,71595.500
(32_8_64),5206.0199999999995,958.3,46.136,6210.456,5206.020
(1_256_3),33701.700000000004,1029.45,3755.06,38486.210,33701.700
(1_400_6),92703.7,1499.34,36896.299999999996,131099.340,92703.700
(1_320_6),55126.1,931.5,24792.8,80850.400,55126.100
(1_256_6),31836.8,571.84,2918.8399999999997,35327.480,31836.800
(1_128_6),7948.1900000000005,420.74,751.12,9120.050,7948.190
(1_32_6),873.94,88.463,95.304,1057.707,873.940
(1_256_9),44422.7,542.98,21397.9,66363.580,44422.700
(1_64_9),5030.37,240.68,517.57,5788.620,5030.370
(1_256_12),64219.399999999994,695.91,28968.1,93883.410,64219.400
(1_64_12),5454.67,246.59,647.77,6349.030,5454.670
(3_150_16),38419.0,425.45,1783.48,40627.930,38419.000
(3_64_16),14946.5,522.38,724.31,16193.190,14946.500
(3_32_16),4034.6000000000004,220.06,247.65,4502.310,4034.600
(6_150_16),70767.0,820.37,1895.1599999999999,73482.530,70767.000
(6_128_16),72705.5,896.13,2243.7999999999997,75845.430,72705.500
(6_70_16),23002.199999999997,341.61,590.87,23934.680,23002.200
(6_32_16),7062.59,405.71,246.64,7714.940,7062.590
(6_16_16),1509.96,204.54,62.132,1776.632,1509.960
(6_8_16),417.65,154.24,32.103,603.993,417.650
(6_32_32),13613.4,571.56,416.89,14601.850,13613.400
(6_16_32),2785.4100000000003,325.75,92.787,3203.947,2785.410
(6_8_32),640.79,258.8,36.63,936.220,640.790
(16_32_32),32183.9,1323.06,399.74,33906.700,32183.900
(16_16_32),6383.33,863.87,87.822,7335.022,6383.330
(16_8_32),1086.92,515.51,29.387,1631.817,1086.920
(16_32_64),24811.2,454.43,292.98,25558.610,24811.200
(16_16_64),7535.36,427.56,111.12,8074.040,7535.360
(16_8_64),2695.31,512.49,46.128,3253.928,2695.310
(32_32_64),71595.5,746.02,445.07,72786.590,71595.500
(32_8_64),5206.0199999999995,958.3,46.136,6210.456,5206.020
(1_256_3),33701.700000000004,1029.45,3755.06,38486.210,33701.700
(1_400_6),92703.7,1499.34,36896.299999999996,131099.340,92703.700
(1_320_6),55126.1,931.5,24792.8,80850.400,55126.100
(1_256_6),31836.8,571.84,2918.8399999999997,35327.480,31836.800
(1_128_6),7948.1900000000005,420.74,751.12,9120.050,7948.190
(1_32_6),873.94,88.463,95.304,1057.707,873.940
(1_256_9),44422.7,542.98,21397.9,66363.580,44422.700
(1_64_9),5030.37,240.68,517.57,5788.620,5030.370
(1_256_12),64219.399999999994,695.91,28968.1,93883.410,64219.400
(1_64_12),5454.67,246.59,647.77,6349.030,5454.670
(3_150_16),38419.0,425.45,1783.48,40627.930,38419.000
(3_64_16),14946.5,522.38,724.31,16193.190,14946.500
(3_32_16),4034.6000000000004,220.06,247.65,4502.310,4034.600
(6_150_16),70767.0,820.37,1895.1599999999999,73482.530,70767.000
(6_128_16),72705.5,896.13,2243.7999999999997,75845.430,72705.500
(6_70_16),23002.199999999997,341.61,590.87,23934.680,23002.200
(6_32_16),7062.59,405.71,246.64,7714.940,7062.590
(6_16_16),1509.96,204.54,62.132,1776.632,1509.960
(6_8_16),417.65,154.24,32.103,603.993,417.650
(6_32_32),13613.4,571.56,416.89,14601.850,13613.400
(6_16_32),2785.4100000000003,325.75,92.787,3203.947,2785.410
(6_8_32),640.79,258.8,36.63,936.220,640.790
(16_32_32),32183.9,1323.06,399.74,33906.700,32183.900
(16_16_32),6383.33,863.87,87.822,7335.022,6383.330
(16_8_32),1086.92,515.51,29.387,1631.817,1086.920
(16_32_64),24811.2,454.43,292.98,25558.610,24811.200
(16_16_64),7535.36,427.56,111.12,8074.040,7535.360
(16_8_64),2695.31,512.49,46.128,3253.928,2695.310
(32_32_64),71595.5,746.02,445.07,72786.590,71595.500
(32_8_64),5206.0199999999995,958.3,46.136,6210.456,5206.020
(1_256_3),33701.700000000004,1029.45,3755.06,38486.210,33701.700
(1_400_6),92703.7,1499.34,36896.299999999996,131099.340,92703.700
(1_320_6),55126.1,931.5,24792.8,80850.400,55126.100
(1_256_6),31836.8,571.84,2918.8399999999997,35327.480,31836.800
(1_128_6),7948.1900000000005,420.74,751.12,9120.050,7948.190
(1_32_6),873.94,88.463,95.304,1057.707,873.940
(1_256_9),44422.7,542.98,21397.9,66363.580,44422.700
(1_64_9),5030.37,240.68,517.57,5788.620,5030.370
(1_256_12),64219.399999999994,695.91,28968.1,93883.410,64219.400
(1_64_12),5454.67,246.59,647.77,6349.030,5454.670
(3_150_16),38419.0,425.45,1783.48,40627.930,38419.000
(3_64_16),14946.5,522.38,724.31,16193.190,14946.500
(3_32_16),4034.6000000000004,220.06,247.65,4502.310,4034.600
(6_150_16),70767.0,820.37,1895.1599999999999,73482.530,70767.000
(6_128_16),72705.5,896.13,2243.7999999999997,75845.430,72705.500
(6_70_16),23002.199999999997,341.61,590.87,23934.680,23002.200
(6_32_16),7062.59,405.71,246.64,7714.940,7062.590
(6_16_16),1509.96,204.54,62.132,1776.632,1509.960
(6_8_16),417.65,154.24,32.103,603.993,417.650
(6_32_32),13613.4,571.56,416.89,14601.850,13613.400
(6_16_32),2785.4100000000003,325.75,92.787,3203.947,2785.410
(6_8_32),640.79,258.8,36.63,936.220,640.790
(16_32_32),32183.9,1323.06,399.74,33906.700,32183.900
(16_16_32),6383.33,863.87,87.822,7335.022,6383.330
(16_8_32),1086.92,515.51,29.387,1631.817,1086.920
(16_32_64),24811.2,454.43,292.98,25558.610,24811.200
(16_16_64),7535.36,427.56,111.12,8074.040,7535.360
(16_8_64),2695.31,512.49,46.128,3253.928,2695.310
(32_32_64),71595.5,746.02,445.07,72786.590,71595.500
(32_8_64),5206.0199999999995,958.3,46.136,6210.456,5206.020
