Configuration,DtoH,sgemm_32x32x32_NN,im2col_gpu_kernel,HtoD,ker2row_kernel,sgemm_32x32x32_NN_vec,sgemm_128x128x8_NN,sgemm_128x128x8_NN_vec,Total_time,Kernel_time
(3_608_32_3),218342.0,152169.0,37182.5,12020.300000000001,69.503,,,,419783.303,189421.003
(32_304_64_3),113722.0,,69262.7,42087.200000000004,403.08,158676.0,,,384150.980,228341.780
(64_304_64_1),113483.0,,114196.0,89782.79999999999,195.08,114276.0,,,431932.880,228667.080
(64_306_64_1),112775.0,,114273.0,90959.5,193.29,120048.0,,,438248.790,234514.290
(64_308_32_1),61289.299999999996,,141533.0,94605.5,135.83,71382.7,,,368946.330,213051.530
(32_310_64_3),118618.0,,68653.9,44387.2,408.51,160010.0,,,392077.610,229072.410
(64_310_64_1),116914.0,,116392.0,93527.1,191.46,116847.0,,,443871.560,233430.460
(64_312_64_1),117501.0,,117950.0,94987.09999999999,192.02,119636.0,,,450266.120,237778.020
(64_157_128_3),55073.3,,48726.9,19727.9,3387.9700000000003,,151565.0,,278481.070,203679.870
(128_157_64_1),38904.8,75236.40000000001,93816.1,53091.700000000004,518.4,,,,261567.400,169570.900
(64_159_64_1),42315.9,77515.4,62507.8,31968.9,370.35,,,,214678.350,140393.550
(64_161_64_1),43019.9,81693.1,64111.50000000001,31613.399999999998,370.96,,,,220808.860,146175.560
(64_163_64_3),31275.600000000002,143125.0,64977.2,21499.0,1447.09,,,,262323.890,209549.290
(64_163_64_1),42178.0,83737.0,65730.90000000001,34205.8,372.18,,,,226223.880,149840.080
(64_165_64_3),31856.4,145650.0,66569.2,21891.7,1443.02,,,,267410.320,213662.220
(64_165_64_1),45720.2,85341.2,67289.4,34872.100000000006,370.86,,,,233593.760,153001.460
(64_167_128_1),79557.5,,68978.3,36325.1,667.6,,70100.9,,255629.400,139746.800
(128_85_256_3),32216.500000000004,,26043.7,9038.66,19099.5,,158983.0,,245381.360,204126.200
(256_85_128_1),24894.9,,71504.59999999999,37891.6,2374.02,,63674.4,,200339.520,137553.020
(128_87_128_1),40614.8,,71017.0,36311.4,2321.73,,66293.8,,216558.730,139632.530
(128_89_128_1),42084.5,,74316.3,39486.0,2347.21,,68475.0,,226709.010,145138.510
(128_91_128_3),19124.8,,47101.0,11176.4,10269.9,,155555.0,,243227.100,212925.900
(128_91_128_1),48133.4,,77646.6,41671.799999999996,2360.16,,73109.8,,242921.760,153116.560
(128_93_128_3),20887.5,,42159.799999999996,11812.699999999999,9774.54,,138389.0,,223023.540,190323.340
(128_93_128_1),47302.700000000004,,80425.29999999999,43506.6,2334.05,,74995.09999999999,,248563.750,157754.450
(128_95_128_3),18972.899999999998,,43101.9,12613.5,9717.88,,138686.0,,223092.180,191505.780
(128_95_128_1),46200.7,,80547.5,45203.6,2280.59,,74871.6,,249103.990,157699.690
(128_97_128_3),20279.0,,45087.4,13340.1,9747.03,,145577.0,,234030.530,200411.430
(128_97_128_1),49881.6,,88144.59999999999,48384.0,2372.3399999999997,,81871.7,,270654.240,172388.640
(128_99_128_3),22154.2,,47317.6,14755.599999999999,9630.599999999999,,149888.0,,243746.000,206836.200
(128_99_128_1),40559.2,,71017.0,38239.7,1815.43,,65973.29999999999,,217604.630,138805.730
