C,HW,K,RS,Fastest
256,7,512,3,CUBLASS
6,8,16,5,CUBLASS
6,8,32,5,CUBLASS
16,8,32,5,CUBLASS
16,8,64,5,CUBLASS
32,8,64,5,CUBLASS
256,12,384,3,CUBLASS
384,12,384,3,CUBLASS
384,12,256,3,CUBLASS
256,13,512,3,TRT
256,13,128,1,TRT
256,13,255,1,CUBLASS
384,13,256,3,TRT
512,13,1024,3,CUBLASS
512,13,255,1,CUBLASS
1024,13,256,1,CUBLASS
128,14,256,5,CUBLASS
128,14,256,3,TRT
128,14,512,3,CUBLASS
512,14,512,3,CUBLASS
6,16,16,5,CUBLASS
6,16,32,5,CUBLASS
16,16,32,5,CUBLASS
16,16,64,5,CUBLASS
1,32,6,5,TRT
1,128,6,5,TRT
1,64,9,5,TRT
1,64,12,5,TRT
192,28,16,5,TRT
3,32,16,5,TRT
6,32,16,5,CUDNN_OPT
3,64,16,5,TRT
6,70,16,5,CUDNN_OPT
6,128,16,5,TRT
512,56,28,5,CUBLASS
256,28,32,3,TRT
6,32,32,5,TRT
16,32,32,5,TRT
256,64,56,5,CUBLASS
3,28,64,1,TRT
16,32,64,5,TRT
32,32,64,5,TRT
256,56,64,3,TRT
32,104,64,3,TRT
256,128,64,5,CUDNN_OPT
64,28,96,3,TRT
3,64,96,11,CUBLASS
192,28,128,1,TRT
64,28,128,3,TRT
192,28,128,3,TRT
64,52,128,3,TRT
256,56,128,3,TRT
64,112,128,3,TRT
128,112,128,3,CUBLASS
512,56,192,3,CUBLASS
128,26,256,3,TRT
96,26,256,5,CUBLASS
64,28,256,3,TRT
128,56,256,3,TRT
256,56,256,3,CUBLASS
128,56,256,5,CUBLASS
64,64,256,5,CUBLASS
256,28,512,3,CUBLASS
512,28,512,3,CUBLASS
128,28,512,5,CUBLASS
3,150,16,5,TRT
6,150,16,5,TRT
16,208,32,3,TRT
3,224,64,3,CUDNN_OPT
64,224,64,3,CUBLASS
512,224,64,7,TRT
1,256,3,5,CUBLASS
1,256,6,5,TRT
1,256,9,5,TRT
1,256,12,5,TRT
256,256,128,5,TRT
1,320,6,5,TRT
1,400,6,5,TRT
3,416,16,3,TRT
